Date;Time;Temperature;Dew Point;Humidity;Wind;Speed;Gust;Pressure;Precip. Rate.;Precip. Accum.;UV;Solar
;;;;;;;;;;;;
011024;12:04 AM;56.8 °F;53.1 °F;87 %;WSW;8.2 mph;10.4 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;12:09 AM;56.8 °F;52.9 °F;87 %;WSW;7.9 mph;9.8 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;12:14 AM;57.0 °F;52.8 °F;86 %;West;10.3 mph;12.8 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;12:19 AM;57.2 °F;52.7 °F;85 %;WSW;9.7 mph;12.2 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;12:24 AM;57.2 °F;52.7 °F;85 %;WSW;9.7 mph;11.9 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;12:29 AM;57.1 °F;52.6 °F;85 %;WSW;9.6 mph;11.6 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;12:34 AM;57.0 °F;52.5 °F;85 %;WSW;9.8 mph;12.7 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;12:39 AM;57.0 °F;52.5 °F;85 %;West;8.6 mph;10.6 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;12:44 AM;56.8 °F;52.3 °F;85 %;WSW;9.1 mph;11.4 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;12:49 AM;56.7 °F;52.2 °F;85 %;WSW;9.2 mph;11.5 mph;29.46 in;0.00 in;0.00 in;0;0 w/m²
011024;12:54 AM;56.8 °F;52.1 °F;84 %;WSW;10.7 mph;13.2 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;12:59 AM;56.8 °F;52.0 °F;84 %;WSW;9.7 mph;12.1 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:04 AM;56.8 °F;52.0 °F;84 %;WSW;9.4 mph;12.0 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:09 AM;56.8 °F;51.9 °F;84 %;West;9.0 mph;10.9 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:14 AM;56.6 °F;51.6 °F;84 %;West;10.3 mph;12.7 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:19 AM;56.6 °F;51.5 °F;83 %;WSW;11.6 mph;15.1 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:24 AM;56.5 °F;51.3 °F;83 %;WSW;10.0 mph;12.6 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:29 AM;56.4 °F;51.4 °F;83 %;WSW;9.1 mph;11.7 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:34 AM;56.3 °F;51.2 °F;83 %;WSW;9.6 mph;12.3 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:39 AM;56.3 °F;50.9 °F;82 %;WSW;11.8 mph;15.2 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:44 AM;56.3 °F;50.9 °F;82 %;WSW;9.2 mph;11.5 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:49 AM;56.2 °F;50.8 °F;82 %;WSW;9.2 mph;11.5 mph;29.47 in;0.00 in;0.00 in;0;0 w/m²
011024;1:54 AM;56.2 °F;50.8 °F;82 %;West;11.0 mph;14.1 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;1:59 AM;56.2 °F;50.8 °F;82 %;WSW;9.0 mph;11.2 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:04 AM;56.1 °F;50.7 °F;82 %;WSW;10.5 mph;13.8 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:09 AM;56.1 °F;50.7 °F;82 %;WSW;10.6 mph;13.1 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:14 AM;56.1 °F;50.7 °F;82 %;WSW;10.5 mph;13.2 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:19 AM;56.0 °F;50.6 °F;82 %;WSW;8.9 mph;11.6 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:24 AM;55.9 °F;50.5 °F;82 %;WSW;10.3 mph;13.4 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:29 AM;55.9 °F;50.4 °F;82 %;West;10.4 mph;13.0 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:34 AM;55.9 °F;50.4 °F;82 %;West;10.4 mph;12.6 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:39 AM;55.8 °F;50.4 °F;82 %;WSW;8.8 mph;11.4 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:44 AM;55.8 °F;50.2 °F;82 %;WSW;10.7 mph;13.3 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:49 AM;55.8 °F;50.4 °F;82 %;WSW;10.0 mph;12.3 mph;29.49 in;0.00 in;0.00 in;0;0 w/m²
011024;2:54 AM;55.6 °F;50.2 °F;82 %;WSW;10.5 mph;13.1 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;2:59 AM;55.6 °F;50.2 °F;82 %;West;11.3 mph;14.0 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:04 AM;55.6 °F;50.2 °F;82 %;WSW;10.8 mph;13.4 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:09 AM;55.5 °F;50.1 °F;82 %;WSW;10.4 mph;13.1 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:14 AM;55.4 °F;50.0 °F;82 %;WSW;9.8 mph;12.2 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:19 AM;55.4 °F;50.0 °F;82 %;West;10.4 mph;13.5 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:24 AM;55.3 °F;49.9 °F;82 %;West;10.6 mph;13.1 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:29 AM;55.2 °F;49.8 °F;82 %;WSW;11.2 mph;13.8 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:34 AM;55.2 °F;49.8 °F;82 %;WSW;10.7 mph;13.0 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:39 AM;55.1 °F;49.8 °F;82 %;West;10.5 mph;13.2 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:44 AM;54.9 °F;50.2 °F;84 %;WSW;10.8 mph;14.4 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:49 AM;54.4 °F;50.2 °F;86 %;WSW;11.7 mph;14.4 mph;29.49 in;0.00 in;0.00 in;0;0 w/m²
011024;3:54 AM;54.0 °F;50.4 °F;87 %;West;10.1 mph;12.8 mph;29.48 in;0.00 in;0.00 in;0;0 w/m²
011024;3:59 AM;53.8 °F;50.4 °F;89 %;West;9.1 mph;11.5 mph;29.49 in;0.00 in;0.00 in;0;0 w/m²
011024;4:04 AM;53.5 °F;50.5 °F;90 %;West;8.6 mph;10.5 mph;29.49 in;0.00 in;0.00 in;0;0 w/m²
011024;4:09 AM;53.3 °F;50.6 °F;91 %;West;8.3 mph;10.5 mph;29.48 in;0.07 in;0.01 in;0;0 w/m²
011024;4:14 AM;53.2 °F;50.6 °F;91 %;West;8.5 mph;10.9 mph;29.48 in;0.07 in;0.01 in;0;0 w/m²
011024;4:19 AM;53.1 °F;50.8 °F;92 %;West;8.6 mph;10.7 mph;29.48 in;0.07 in;0.01 in;0;0 w/m²
011024;4:24 AM;53.0 °F;50.8 °F;92 %;WSW;7.8 mph;10.0 mph;29.48 in;0.00 in;0.01 in;0;0 w/m²
011024;4:29 AM;52.9 °F;50.9 °F;93 %;WSW;8.5 mph;11.2 mph;29.49 in;0.00 in;0.01 in;0;0 w/m²
011024;4:34 AM;52.7 °F;50.8 °F;93 %;WSW;8.9 mph;11.2 mph;29.49 in;0.05 in;0.02 in;0;0 w/m²
011024;4:39 AM;52.7 °F;50.9 °F;94 %;WSW;9.0 mph;11.7 mph;29.49 in;0.05 in;0.02 in;0;0 w/m²
011024;4:44 AM;52.5 °F;50.7 °F;94 %;West;9.6 mph;12.0 mph;29.49 in;0.07 in;0.03 in;0;0 w/m²
011024;4:49 AM;52.5 °F;50.9 °F;94 %;WSW;9.0 mph;11.0 mph;29.49 in;0.12 in;0.04 in;0;0 w/m²
011024;4:54 AM;52.5 °F;51.1 °F;95 %;West;9.2 mph;12.3 mph;29.49 in;0.12 in;0.04 in;0;0 w/m²
011024;4:59 AM;52.3 °F;50.9 °F;95 %;WSW;10.2 mph;12.9 mph;29.49 in;0.05 in;0.04 in;0;0 w/m²
011024;5:04 AM;52.3 °F;50.9 °F;95 %;West;8.6 mph;10.9 mph;29.49 in;0.07 in;0.05 in;0;0 w/m²
011024;5:09 AM;52.3 °F;50.9 °F;95 %;West;8.2 mph;10.4 mph;29.49 in;0.07 in;0.05 in;0;0 w/m²
011024;5:14 AM;52.3 °F;50.9 °F;95 %;West;9.0 mph;11.0 mph;29.49 in;0.12 in;0.06 in;0;0 w/m²
011024;5:19 AM;52.3 °F;51.0 °F;95 %;WSW;9.8 mph;12.4 mph;29.49 in;0.05 in;0.06 in;0;0 w/m²
011024;5:24 AM;52.3 °F;51.3 °F;96 %;WSW;10.2 mph;12.7 mph;29.50 in;0.05 in;0.06 in;0;0 w/m²
011024;5:29 AM;52.3 °F;51.3 °F;96 %;West;9.7 mph;12.3 mph;29.49 in;0.00 in;0.06 in;0;0 w/m²
011024;5:34 AM;52.2 °F;51.2 °F;96 %;WSW;9.8 mph;11.9 mph;29.49 in;0.00 in;0.06 in;0;0 w/m²
011024;5:39 AM;52.2 °F;51.1 °F;96 %;WSW;8.8 mph;11.4 mph;29.49 in;0.00 in;0.06 in;0;0 w/m²
011024;5:44 AM;52.2 °F;51.1 °F;96 %;WSW;9.6 mph;12.2 mph;29.49 in;0.00 in;0.06 in;0;0 w/m²
011024;5:49 AM;52.2 °F;51.1 °F;96 %;WSW;8.6 mph;11.1 mph;29.49 in;0.00 in;0.06 in;0;0 w/m²
011024;5:54 AM;52.2 °F;51.1 °F;96 %;WSW;9.7 mph;11.9 mph;29.50 in;0.00 in;0.06 in;0;0 w/m²
011024;5:59 AM;52.2 °F;51.2 °F;96 %;West;8.2 mph;10.7 mph;29.50 in;0.00 in;0.06 in;0;0 w/m²
011024;6:04 AM;52.3 °F;51.0 °F;95 %;WSW;7.0 mph;9.0 mph;29.50 in;0.00 in;0.06 in;0;0 w/m²
011024;6:09 AM;52.3 °F;50.9 °F;95 %;WSW;9.2 mph;11.5 mph;29.50 in;0.00 in;0.06 in;0;0 w/m²
