Date;Time;Temperature;Dew Point;Humidity;Wind;Speed;Gust;Pressure;Precip. Rate.;Precip. Accum.;UV;Solar
;;;;;;;;;;;;
011024;12:04 AM;56.2 °F;51.3 °F;84 %;;4.4 mph;10.9 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:09 AM;56.3 °F;51.3 °F;83 %;NNW;2.5 mph;11.3 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:14 AM;56.3 °F;51.3 °F;83 %;NNW;4.1 mph;11.7 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:19 AM;56.4 °F;51.3 °F;83 %;;3.1 mph;11.8 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:24 AM;56.5 °F;51.2 °F;82 %;NNW;2.5 mph;8.5 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:29 AM;56.6 °F;51.2 °F;82 %;NW;3.2 mph;8.8 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:34 AM;56.7 °F;51.3 °F;82 %;North;4.0 mph;9.7 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:39 AM;56.6 °F;51.5 °F;83 %;NW;1.9 mph;7.7 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:44 AM;56.5 °F;51.4 °F;83 %;NNW;3.0 mph;9.5 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:49 AM;56.5 °F;51.4 °F;83 %;;3.1 mph;8.3 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:54 AM;56.5 °F;51.2 °F;82 %;NNW;3.7 mph;9.9 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;12:59 AM;56.5 °F;51.1 °F;82 %;NW;4.3 mph;11.7 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:04 AM;56.6 °F;51.1 °F;82 %;NNW;2.2 mph;7.5 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:09 AM;56.6 °F;50.8 °F;81 %;;3.6 mph;9.5 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:14 AM;56.7 °F;50.9 °F;81 %;North;2.5 mph;8.3 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:19 AM;56.6 °F;50.6 °F;80 %;WNW;3.5 mph;14.5 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:24 AM;56.5 °F;50.7 °F;81 %;;3.9 mph;9.9 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:29 AM;56.4 °F;50.6 °F;81 %;NNW;3.7 mph;9.3 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:34 AM;56.2 °F;50.2 °F;80 %;NNW;4.6 mph;9.7 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:39 AM;56.1 °F;49.8 °F;80 %;NNW;3.4 mph;8.1 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:44 AM;56.1 °F;49.6 °F;79 %;NW;4.3 mph;8.4 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:49 AM;56.1 °F;49.5 °F;78 %;WNW;6.3 mph;13.3 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:54 AM;56.1 °F;49.5 °F;78 %;West;4.9 mph;11.6 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;1:59 AM;55.9 °F;49.3 °F;78 %;NNW;4.7 mph;12.3 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
011024;2:04 AM;55.9 °F;49.3 °F;78 %;NNW;4.9 mph;12.9 mph;29.75 in;0.00 in;0.19 in;0;0 w/m²
